"Term"	"Terim"
"Netmask"	"Ağ maskesi"
"Netscape"	"Netscape"
"Network"	"Ağ"
"News Site"	"Haber grubu sitesi"
"NO-DAEMON"	"SERVİS-YOK"
"node"	"Düğüm"
"Normal distribution"	"Normal dağılım"
"Notebook"	"Dizüstü"
"Notice"	"Not"
"Notification"	"Uyarı"
"Number"	"Sayı"
"Number Converter"	"Sayı çevirici"
"Number Theory"	"Sayı teorisi"
"Numbered List"	"Sayı listesi"
"Numeric"	"Sayısal"
"Object code"	"Obje kodu"
"oblique"	"eğik"
"Observations"	"Gözlemler"
"Obsolete"	"Geçersiz"
"Offline"	"Çevrimdışı"
"Online"	"Çevrimiçi"
"Opacity"	"Saydamsızlık"
"opaque"	"matlık"
"Open"	"Aç"
"Open Source"	"Açık kaynak"
"Operating System"	"İşletim sistemi"
"Operation"	"İşlem"
"optional"	"Seçimlik"
"Options"	"Seçenekler"
"OR"	"VEYA"
"Order"	"Sıralama"
"Orientation"	"Yön"
"Origin"	"Kaynak"
"Orthflow"	""
"Outline"	"Anahat"
"Output"	"Çıktı"
"Overwrite"	"Üzerine yazmak"
"Owner"	"Sahip"
"Pack"	"Sıkıştır"
"Package"	"Paket"
"Packet"	"Paket"
"Padding"	"Yenme"
"Page"	"Sayfa"
"Pager"	"Sayfalayıcı"
"Palette"	"Palet"
"Panel"	"Panel"
"Panelize"	"Panele gömmek"
"Parameter"	"Parametre"
"Parcel"	"Parsel"
"parse"	"ayrıştırmak"
"Parse"	"Ayrıştırmak"
"Partition"	"Bölüm"
"Password"	"Parola"
"Paste"	"Yapıştır"
"Path"	"Yol"
"Pattern"	"Desen,Doku (grafik)"
"Peak indicator"	"Üst sınır belirteci"
"Pearson Correlation"	"Pearson Bağıntısı"
"pending signals"	"bekleyen sinyaller"
"Period"	"Periyod"
"Periodic"	"Periyodik"
"Perl"	"Perl"
"Perl Script"	"Perl betiği"
"Permission"	"İzin"
"physical memory"	"fiziksel bellek"
"PID"	"PID"
"picker button"	"seçme düğmesi"
"Picker Settings"	"Seçici Ayarları"
"Pilot device"	"Pilot aygıtı"
"Pipe"	"Boru"
"pipeline"	"boruhattı"
"Pixel"	"Benek"
"Pixmap"	"Benekeşlem"
"Place"	"Yerleştirmek"
"placed calls"	"gerçekleştirilmiş aramalar"
"Play"	"Çalmak"
"playlist"	"çalma listesi"
"Plug-in"	"Eklenti"
"Point"	"Nokta"
"Poisson distribution"	"Poisson dagılımı"
"Policy"	"Kural"
"policy"	"kurallar"
"Polish"	"Lehçe"
"Polygon"	"Poligon"
"Polyline"	"Diyagram"
"Pooled Variance"	""
"popup menu"	"açılır menü"
"port"	"kapı"
"Portrait"	"Düşey"
"Post Office"	"Posta ofisi"
"Post Processor"	""
"Postal Box"	"Posta kutusu"
"postscript"	"Postscript"
"power management"	"güç yönetimi"
"PPP"	"PPP"
"Preferences"	"Tercihler"
"Prefix"	"Önek"
"Preview"	"Önizleme"
"Primary Colors"	"Birincil renkler"
"Print"	"Yazdırmak"
"Print area"	"Yazdırma bölgesi"
"Printer"	"Yazıcı"
"Priority"	"Öncelik"
"Privacy"	"Gizlilik"
"Private key"	"Kişisel anahtar"
"Private Messages"	"Kişisel iletiler"
"Problem"	"Sorun"
"Process"	"Süreç"
"Process ID"	"Süreç No"
"Processor"	"İşlemci"
"Prodigy"	"Prodigy"
"Program"	"Program"
"Progress"	"İlerleme"
"Progress Bar"	"İlerleme çubuğu"
"project"	"proje"
"Propagation"	"Yayın"
"Properties"	"Özellikler"
"Proportional font"	"Orantısal yazıtipi"
"Protected"	"Korumalı"
"protected workbooks"	"korunmuş defter"
"Protection"	"Koruma"
"Protocol"	"Protokol"
"Provision"	"Provizyon"
"Proxy"	"Vekil"
"proxy server"	"Vekil sunucu"
"Public"	"Kamu, genel"
"Public Key"	"Genel anahtar"
"Query"	"Sorgulamak"
"Queue"	"Kuyruk"
"Quit"	"Çık"
"Quoting"	"Tırnak kullanımı"
"Radar map"	""
"Radio"	"Radyo"
"Radio Button"	"Radyo düğmesi"
"Random"	"Rastgele"
"Range"	"Aralık"
"Rank"	"Sıralama"
"Rating"	""
"Ratio"	"Oran"
"Raw data"	"Ham veri"
"Raw memory"	"Ham bellek"
"Readout"	""
"ready..."	"hazır..."
"Real Memory"	"Gerçek bellek"
"real path"	"Gerçek yol"
"Real time"	"Gerçek zaman"
"Reboot"	"Yeniden başlatmak"
"Receive"	"Almak"
"Receptivity"	"Duyarlılık"
"Record"	"Kaydetmek"
"Rectangle"	"Dikdörtgen"
"Recurrence"	"Tekrar"
"Recursion"	"Özyineleme"
"Redisplay"	"Yeniden göster"
"Redo"	"Yeniden yap"
"Refresh"	"Tazele"
"Region"	"Bölge"
"Regression analysis"	"Gerileme analizi"
"regular"	"Düzgün"
"Regular expression"	"Düzgün deyim"
"Regulate"	"Düzenle"
"Relationship"	"İlişki"
"Release"	"Sürüm"
"Remote"	"Uzak"
"Remove"	"Sil"
"Rename"	"Yeniden adlandır"
"Repeat"	"Tekrarla"
"Replace"	"Yerleştir"
"Reports"	"Raporlar"
"reserved blocks"	"Ayrılmış bloklar"
"Reset"	"Sıfırla"
"Resident"	"Kalıcı"
"Resident memory"	"Kalıcı bellek"
"Residual"	"Fark"
"Resize"	"Yeniden boyutlandır"
"Resolution"	"Çözünürlük"
"Resource element"	"Kaynak elemanı"
"Restart"	"Yeniden başla"
"Resume"	"Devam et"
"Retrieve"	"Getir"
"Retry"	"Yeniden dene"
"Return"	"Return"
"Reverse video"	"Ters video"
"Revert"	"Geriye al"
"Root"	"Ana Dizin"
"Root Directory"	"Ana Dizin"
"Root Window"	"Ana Pencere"
"Rotate"	"Çevirmek"
"router"	"yöneltici"
"Row"	"Sıra"
"RPM package"	"RPM paketi"
"Run"	"Çalıştır"
"Sample"	"Örnek"
"Sampling"	"Örneklendirmek"
"Saturation"	"Dolgunluk"
"Save"	"Kaydet"
"SC/XSpread"	"SC/XSpread"
"Scalable"	"Ölçeklendirilebilir"
"Scalar"	"Skalar"
"Scale"	"Odakla"
"Scaling Factor"	"Ölçeklendirme Oranı"
"Scan"	"Taramak"
"schedule manager"	"Takvim yöneticisi"
"scheduler"	"zamanlayıcı"
"schema"	"şema"
"Scientific notation"	"Bilimsel gösterim"
"Screen"	"Ekran"
"Screen Saver"	"Ekran koruyucu"
"Script"	"Betik"
"Scroll"	"Kaydırmak"
"scroll bar"	"kaydırma çubuğu"
"Scrollbars"	"Kaydırma çubukları"
"SCSI"	"SCSI"
"Search"	"Aramak"
"Search Domains"	"Arama alanları"
"search string"	"Arama dizisi"
"Secondary Colors"	"İkincil renkler"
"Secure channel"	"Güvenli kanal"
"Secure keyboard"	"Güvenli klavye"
"Security"	"Güvenlik"
"Segment"	"Bölüm"
"Segmentation Fault"	"Bölütleme Aksaması"
"Select"	"Seçmek"
"selection"	"seçim"
"Selection"	"Seçim"
"Send"	"Göndermek"
"Sense"	"Anlam"
"Sensitive"	"Duyarlı"
"Separator"	"Ayraç"
"Server"	"Sunucu"
"Session"	"Oturum"
"Set"	"Tanımlamak"
"Settings"	"Ayarlar"
"Setup"	"Kurmak"
"Severity"	"Önem derecesi"
"shaped text"	"şekilli metin"
"Share"	"Paylaşmak"
"Shared Memory"	"Paylaşılmış bellek"
"Shell"	"Kabuk"
"Shift key"	"Üst karakter tuşu"
"Show"	"Göster"
"Shut Down"	"Kapatmak"
"Signal"	"Sinyal"
"signature"	"İmza"
"signature block"	"İmza bloğu"
"Size box"	"Boyut kutusu"
"Skewness"	""
"Skip"	"Atla"
"Slant"	"Eğik"
"Slashed Cross"	""
"slave"	"köle"
"Sleeping"	"Uyuyor"
"SLIP"	"SLIP"
"slider"	"sürgü"
"slider"	"sürgü"
"slow terminals"	"Yavaş terminaller"
"Smart"	"Akıllı"
"Smart terminal"	"Akıllı terminal"
"smooth"	"Yumuşatmak"
"SMTP"	"SMTP"
"Snap"	""
"Snooze"	""
"Socket"	"Soket"
"SOCKS Server"	"SOCKS sunucusu"
"soft keys"	"Yumuşak tuşlar"
"software bug"	"Program böceği"
"Software Foundation"	"Yazılım Kuruluşu"
"Solid lines"	"Katı çizgiler"
"Solid model"	"Katı model"
"Sort"	"Sıralamak"
"sound card"	"Ses kartı"
"Source"	"Kaynak"
"Source code"	"Kaynak kodu"
"Space character"	"Boşluk karakteri"
"spacer"	"boşlukçu"
"Spam"	"Spam"
"Special character"	"Özel karakter"
"specification"	"Belirtim"
"Spell"	"İmla"
"Spell Checker"	"Yazım denetleyici"
"splash"	"Açılış görüntüsü"
"spool"	""
"Stabilize"	"Sabitleştirmek"
"Stack"	"Yığın"
"Standard"	"Standart"
"Standard deviation"	"Standart sapma"
"Standby"	"Beklemede kal"
"Start"	"Başlamak"
"Startup"	"Başlat"
"startup files"	"Başlangıç dosyaları"
"Startup Program"	"Başlangıç programı"
"State"	"Konum"
"Statistics"	"İstatistikler"
"Status"	"Durum"
"step increment"	"adım artışı"
"Stereotype"	"Stereotip"
"sticky notes"	"Yapışkan notlar"
"Stock Ticker"	""
"Storage"	"Depolama"
"stream"	"akım"
"Strikethrough"	"Üstünüçiz"
"String"	"Dizi"
"stripchart program"	""
"structure diagram"	"yapı şeması"
"Style"	"Biçem"
"style"	"biçem"
"Subdirectory"	"Alt dizin"
"Subject"	"Konu"
"Submenu"	"Alt menü"
"Submit"	"Gönder"
"Subnet"	"Alt ağ"
"Subscript"	"Altbetim"
"subshell support"	"Alt kabuk desteği"
"substring"	"altdizi"
"Suffix"	"Sonek"
"Superscript"	"Üstkarakter"
"Support"	"Destek"
"Suspend"	"Asılı bırakmak"
"Swap"	"Takas"
"Switch level"	""
"SYLK file"	"SYLK dosyası"
"Symbol"	"Sembol"
"Symbolic Link"	"Sembolik bağ"
"Symmetric control"	"Simetrik kontrol"
"Synchronize"	"Eşzamanlı yapmak"
"Syntax error"	"Sözdizimi hatası"
"System"	"Sistem"
"System Administrator"	"Sistem yöneticisi"
"System Configuration"	"Sistem yapılandırması"
"system settings"	"Sistem ayarları"
"Tab"	"Sekme"
"Table"	"Tablo"
"tag"	"im"
"Talk"	"Talk"
"tall"	"uzun"
"tar archive"	"tar arşivi"
"target file"	"hedef dosya"
"task"	"görev"
"TCLASS"	"TCLASS"
"TCP/IP"	"TCP/IP"
"tear off"	"ayıraç"
"Telnet"	"Telnet"
"temp file"	"Geçici dosya"
"Template"	"Şablon"
"temporary buffer"	"Geçici tampon"
"TERM variable"	"TERM değişkeni"
"terminal"	"uçbirim"
"Terminal"	"Terminal"
"Terminate"	"Bitirmek, sonlandırmak"
"Test"	"Deneme, test"
"Test Module"	"Deneme modülü"
"Text"	"Metin"
"text area"	"Metin bölgesi"
"text chat"	"yazılı sohbet"
"Text only"	"Sadece metin"
"textual name"	""
"Theme"	"Tema"
"Threshold"	"Eşik"
"Thumb Nails"	"Küçük resimler"
"Tick"	"Tik"
"Ticker Properties"	""
"Tile"	"Döşe"
"Time format"	"Zaman biçimi"
"time stamp"	"Zaman zarfı"
"Timeout"	"Zaman aşımı"
"Timer"	"Zamanlayıcı"
"Timezone"	"Zaman dilimi"
"Timing"	"Zamanlama"
"Title"	"Başlık"
"TODO List"	"Yapılacaklar listesi"
"toggle"	"şeçim"
"toggle button"	"seçim düğmesi"
"Tolerance"	"Tolerans"
"Tool"	"Araç"
"tool menu"	"Araç menüsü"
"Toolbar"	"Araç çubuğu"
"topic"	"Başlık"
"track"	"parça"
"Transfer"	"Aktarmak"
"Transfer statement"	""
"Transitive"	"Geçişli"
"Translate"	"Çevirmek"
"transmission channel"	"İletişim kanalı"
"Transparent"	"Şeffaf"
"Transpose"	"Transpoz"
"Trash"	"Çöp"
"Tree"	"Ağaç"
"Trim"	"Kırpma"
"Tty"	"Tty"
"Turing Machine"	"Turing makinesi"
"tutorial"	"öğretici"
"Type"	"Tür"
"type bindings"	"Tür bağıntıları"
"Type mismatch"	"Tür uyumsuzluğu"
"Undelete"	""
"Underline"	"Altını çizmek"
"Undo"	"Geri al"
"Unexpected end"	"Beklenmeyen bitiş"
"unexpected error"	"beklenmeyen hata"
"UNIX"	"UNIX"
"Unicode"	"Unikod"
"Uninstall"	"Sil"
"Unknown host"	"Bilinmeyen makine"
"Unload"	"Boşaltma"
"Untitled"	"Başlıksız"
"Update"	"Güncellemek"
"Upgrade"	"Yükseltme"
"Uptime"	"Açık durma zamanı"
"Urgent condition"	"Acil durum"
"URL"	"URL"
"USB"	"USB"
"User"	"Kullanıcı"
"User defined"	"Kullanıcı tanımlı"
"user directory"	"kullanıcı dizini"
"User Interface"	"Kullanıcı arayüzü"
"Username"	"Kullanıcı adı"
"Valid chars"	"Geçerli karakterler"
"Value"	"Değer"
"Variable"	"Değişken"
"Variance"	"Varyans"
"Vector Graphics"	"Vektör grafik"
"Vendor"	"Üretici"
"VERBOSE"	"DETAYLI"
"Verify"	"Doğrulamak"
"Version"	"Sürüm"
"Vertical"	"Dikey"
"Vertical Alignment"	"Dikey hizal"
"VFS"	"VFS"
"Video"	"Video"
"View"	"Görüntülemek"
"Viewport"	"Görüntü ekranı"
"Virtual"	"Sanal"
"Virtual Desktop"	"Sanal Masaüstü"
"Visualization"	"Görselleştirme"
"Volume"	"Ses"
"Wallpaper"	"Duvar kağıdı"
"Warning"	"Uyarı"
"Watch file"	"Dosyayı izle"
"Web Page"	"Web sayfası"
"Weight"	"Ağırlık"
"Widget"	"Parçacık"
"Width"	"Genişlik"
"Window"	"Pencere"
"Window Manager"	"Pencere yöneticisi"
"Word"	"Kelime"
"Work"	"Çalışmak"
"Workbook"	"Çalışma kitabı"
"working directory"	"çalışma dizini"
"Workspaces"	"Çalışma alanları"
"Wrap"	"Sarmallama"
"wrap"	"sarmala"
"Write"	"Yazmak"
"WVLAN"	"WVLAN"
"X Align"	"X Hizalama"
"XDMCP socket"	"XDMCP soketi"
"XML"	"XML"
"zero"	"sıfır"
"Zigzagline"	"Kırık çizgi"
"Zip Drive"	"Zip sürücü"
"Zoom"	"Büyütme, yaklaştırma"
